GrPetYear,pe,shr,rvn,opInm,eps,tAssts,tEqu,bvps,ROtA,5meanROtA,cur,old
INVUP,0.0,-100.0,49.48,0.0,-100.0,56.45,0.0,0.0,-36.39,-387.22,USD,2013
INVVY,-59.65,-1.22,4.7,0.0,0.0,2.31,-37.51,-37.97,-3.12,1.75,USD,2019
INV.WA,-238.62,22.75,-12.16,5.28,-9.61,44.6,40.45,32.96,0.0,-23.36,PLN,2009
INVZ,-2.9,1.02,213.99,24.08,21.28,27.29,0.0,0.0,-49.67,-32.65,USD,2018
INW1.DE,-63.04,-1.27,-34.78,-38.24,-37.43,-23.8,-16.81,-17.02,0.0,-26.07,EUR,2011
INWI.ST,7.12,-0.0,9.27,15.35,20.74,8.43,8.55,8.55,16.95,16.74,SEK,2013
INWK,0.0,1.27,10.22,6.57,0.0,9.42,1.19,1.18,0.0,-15.1,USD,2010
INW.MI,36.87,8.88,19.92,23.38,12.73,27.13,17.52,16.09,11.61,19.89,EUR,2015
INX.L,-1.29,-0.0,-1.11,9.15,11.24,2.15,3.11,3.11,-76.99,-49.81,GBP,2015
INXN,0.0,1.67,8.52,0.0,-2.62,19.6,-2.28,-2.24,0.0,1.47,,2011
INZILE.ST,-0.59,5.08,-100.0,93.94,86.13,89.22,86.54,82.36,0.0,-203.14,SEK,2017
INZY,-3.62,25.68,-100.0,56.01,39.25,33.71,0.0,0.0,-47.02,-36.11,USD,2018
IO,-0.13,3.57,-13.55,0.0,0.0,-12.94,0.0,0.0,0.0,-44.16,USD,2011
IOAC,35.32,0.0,-100.0,3333.93,452.86,0.93,-2.03,-2.03,-0.52,-0.31,USD,2021
IOACU,22.02,-100.0,-100.0,-100.0,-100.0,0.93,-2.03,-2.03,-0.52,-0.52,USD,2022
IOACW,0.13,0.0,-100.0,3333.93,451.02,0.93,-2.03,-2.03,-0.52,-0.31,USD,2021
IOB.NS,22.8,38.71,5.35,-100.0,-17.17,1.47,4.9,3.53,0.58,-1.59,INR,2014
IOBT,-0.76,81.31,-100.0,93.14,1.24,152.56,0.0,0.0,-47.07,-111.62,USD,2019
IOC.NS,12.3,-0.62,7.24,5.36,4.31,5.77,8.35,8.4,5.82,5.76,INR,2014
IOD.AX,-75.66,48.51,95.41,12.53,-23.71,-9.83,-18.34,-12.35,-120.16,-320.92,AUD,2013
IOFB,21.05,-4.17,4.89,-100.0,-1.25,5.1,15.07,15.72,0.0,0.5,USD,1999
IOF.L,9.89,4.77,9.31,0.0,0.0,0.99,3.12,2.98,15.94,2.16,USD,2013
